CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH
215760301,,XLANP2,OPT,BUY,PREAWARD,BORDAS_345,AMISTAD_ALL,05/01/2026,05/31/2026,Off-peak,No,0.1,32.552660
215856360,,XNN8LL,OBL,BUY,PREAWARD,MDANP_CT3_4,ANOL_ESS_RN,05/01/2026,05/31/2026,Off-peak,No,4,0.218305
215702628,,XBIOUR,OPT,BUY,PREAWARD,NCO_RN,WES_ALL,05/01/2026,05/31/2026,Off-peak,No,4.6,0.014697
215626151,,XDCEN2,OPT,BUY,PREAWARD,TOPAZ_ALL,BRP_DIKN_RN,05/01/2026,05/31/2026,Off-peak,No,35.7,0.017699
215689428,,XSARA3,OPT,BUY,PREAWARD,LGE_LGE_GT1,JKLP_SLR_RN,05/01/2026,05/31/2026,Off-peak,No,3.4,0.140000
215827706,,XMAIA1,OPT,BUY,PREAWARD,TROJ_SLR_RN,PORTSL_UNIT1,05/01/2026,05/31/2026,Off-peak,No,10,0.016997
215816941,,XATVUM,OBL,BUY,PREAWARD,ANCHOR_ALL,FREC_2_CCU,05/01/2026,05/31/2026,PeakWD,No,0.2,5.259704
215704128,,XBARTO,OBL,BUY,PREAWARD,COL_COLETOG1,BRIGHTSD_U1,05/01/2026,05/31/2026,PeakWE,No,4.5,3.254452
215856935,,XNN8LL,OBL,BUY,PREAWARD,SENATEWD_1,STAM_SLR_ALL,05/01/2026,05/31/2026,Off-peak,No,2.2,2.504921
215899510,,XLREEN,OBL,BUY,PREAWARD,HRZN_SLR_UN1,LZ_SOUTH,05/01/2026,05/31/2026,PeakWE,No,2.9,0.020000
215849820,,XCITAT,OPT,BUY,PREAWARD,BIGSAMWD_RN,BOOTLEG_UN1,05/01/2026,05/31/2026,PeakWD,No,54.3,1.572698
215807254,,XTEFL1,OBL,BUY,PREAWARD,TORR_ALL,SAN_SANMIGG1,05/01/2026,05/31/2026,PeakWE,No,0.4,7.411723
215849212,,XVITRE,OBL,BUY,PREAWARD,MAND_SLR_RN,GOLINDA_UN1,05/01/2026,05/31/2026,Off-peak,No,2.6,0.276565
215856150,,XNN8LL,OBL,BUY,PREAWARD,IMP_RN1,LPCCS_CT12,05/01/2026,05/31/2026,PeakWD,No,4,-0.390840
215639308,,XBPEC,OBL,BUY,PREAWARD,SENATEWD_1,CPSES_UNIT1,05/01/2026,05/31/2026,Off-peak,No,1.9,1.963616
215766558,,XLANP2,OPT,BUY,PREAWARD,B_DAVIS_4,NUE_NUECESG9,05/01/2026,05/31/2026,PeakWE,No,1,0.523177
215806629,,XTEFL1,OBL,BUY,PREAWARD,GPASTURE_ALL,SHANNONW_RN,05/01/2026,05/31/2026,PeakWD,No,0.1,0.068679
215838984,,XTHORD,OBL,BUY,PREAWARD,HHGT_KENDAL,HB_HOUSTON,05/01/2026,05/31/2026,Off-peak,No,0.1,-1.224020
215628575,,XLUTRD,OPT,BUY,PREAWARD,HB_SOUTH,LZ_SOUTH,05/01/2026,05/31/2026,PeakWD,No,0.1,4.347612
215693671,,XNRGP,OBL,BUY,PREAWARD,CITYVICT_ALL,HB_SOUTH,05/01/2026,05/31/2026,PeakWD,No,12,3.220000
215704835,,XBARTO,OBL,BUY,PREAWARD,HDNLAKES_RN,BAC_RN_ALL,05/01/2026,05/31/2026,Off-peak,No,12.7,-0.017726
215875309,,XGUNVO,OPT,BUY,PREAWARD,MISAE_GEN_RN,HB_PAN,05/01/2026,05/31/2026,PeakWD,No,15,0.182111
215856119,,XNN8LL,OBL,BUY,PREAWARD,HMNG_ESS_RN,WIG_BESS_RN,05/01/2026,05/31/2026,Off-peak,No,0.8,1.396751
215680972,,XSUEZI,OBL,BUY,PREAWARD,SENATEWD_1,TRINITY_ALL,05/01/2026,05/31/2026,Off-peak,No,4.8,-0.322370
215760115,,XLANP2,OPT,BUY,PREAWARD,BORDAS_345,MCLNSLR_RN,05/01/2026,05/31/2026,Off-peak,No,0.1,23.057761
215761050,,XLANP2,OPT,BUY,PREAWARD,FPPYD_FPP_G1,LZ_AEN,05/01/2026,05/31/2026,Off-peak,No,1,0.830000
215640145,,XBPEC,OBL,BUY,PREAWARD,WAP_WAP_G3,FTR_FTR_G1_4,05/01/2026,05/31/2026,Off-peak,No,7,-0.244079
215632475,,XLUTRD,OPT,BUY,PREAWARD,CASL_GAP_UN1,HB_WEST,05/01/2026,05/31/2026,PeakWD,No,3,1.248079
215706472,,XBARTO,OBL,BUY,PREAWARD,EBELLS_UNIT1,AURO_SLR_RN,05/01/2026,05/31/2026,PeakWD,No,3.5,-0.072525
215774275,,XCASTP,OPT,BUY,PREAWARD,HHOLLW3_WND1,BUFF_GAP_ALL,05/01/2026,05/31/2026,PeakWD,No,6,0.040000
215759648,,XVELE3,OBL,BUY,PREAWARD,ROW_ALL,WAP_WAP_G8,05/01/2026,05/31/2026,PeakWD,No,2.5,1.388797
215776913,,XMOUNT,OPT,BUY,PREAWARD,CFLAT_ES_RN,SROSA_ESR_RN,05/01/2026,05/31/2026,PeakWE,No,1.5,0.073157
215631989,,XLUTRD,OPT,BUY,PREAWARD,ELB_ELBCREEK,QALSW_ALL,05/01/2026,05/31/2026,Off-peak,No,0.1,15.048587
215850985,,XCITAT,OPT,BUY,PREAWARD,WAKEWE_ALL,AZURE_RN,05/01/2026,05/31/2026,PeakWD,No,3,1.012001
215766560,,XLANP2,OPT,BUY,PREAWARD,B_DAVIS_4,NUE_NUECESG9,05/01/2026,05/31/2026,PeakWE,No,1,0.523177
215839103,,XTHORD,OBL,BUY,PREAWARD,RANCHERO_ALL,WAKEWE_ALL,05/01/2026,05/31/2026,PeakWD,No,0.1,-4.462474
215873346,,XHYDRA,OBL,BUY,PREAWARD,HB_HOUSTON,LZ_HOUSTON,05/01/2026,05/31/2026,Off-peak,No,0.6,0.068616
215878304,,XK2SO1,OPT,BUY,PREAWARD,GUNMTN_NODE,CARBN_BSP_1,05/01/2026,05/31/2026,PeakWD,No,0.1,3.377797
215645302,,XTENS,OPT,BUY,PREAWARD,PEY_RN,PLN_ALL,05/01/2026,05/31/2026,PeakWD,No,12,0.711466
215679702,,XEDIS2,OBL,BUY,PREAWARD,VERAWIND_ALL,WILDWIND_ALL,05/01/2026,05/31/2026,PeakWD,No,0.6,4.168918
215756343,,XSNDA2,OPT,BUY,PREAWARD,MLSES_UNIT1,KELAMSL_U1,05/01/2026,05/31/2026,PeakWE,No,1,2.000000
215794844,,XSCENE,OBL,BUY,PREAWARD,DIB_PUN2,MIRAGE_G1,05/01/2026,05/31/2026,Off-peak,No,6,0.000098
215876367,,XK2SO,OBL,BUY,PREAWARD,CHE_LYD,CVC_CVCG1_5,05/01/2026,05/31/2026,PeakWD,No,1.5,0.176868
215778980,,XDCND2,OBL,BUY,PREAWARD,T_CK_GT2_RN,HB_WEST,05/01/2026,05/31/2026,Off-peak,No,6.7,-5.063166
215807870,,XTEFL1,OBL,BUY,PREAWARD,DERMOTT_ALL,ENDPARK_ESS1,05/01/2026,05/31/2026,Off-peak,No,0.1,-1.180647
215741873,,XHARTR,OPT,BUY,PREAWARD,ANCHOR_ALL,BAIRDWND_ALL,05/01/2026,05/31/2026,PeakWD,No,0.3,0.436455
215762165,,XLANP2,OPT,BUY,PREAWARD,CHIL_SLR,LZ_AEN,05/01/2026,05/31/2026,PeakWD,No,0.1,9.260780
215705755,,XBARTO,OBL,BUY,PREAWARD,CALAVER_OWS1,BRAUNIG_VHB1,05/01/2026,05/31/2026,Off-peak,No,6.7,-0.031162
215780792,,XSOCIV,OBL,BUY,PREAWARD,JAY_RN_1,CBECII_CT7,05/01/2026,05/31/2026,PeakWD,No,0.1,1.645858
215743189,,XHARTR,OPT,BUY,PREAWARD,LV1A_LV1B,DC_R,05/01/2026,05/31/2026,PeakWD,No,1,9.308997
215731573,,XPEAKE,OBL,BUY,PREAWARD,MROW_SLR_RN,HELIOS_RN,05/01/2026,05/31/2026,Off-peak,No,15,0.806053
215635417,,XBPEC,OBL,BUY,PREAWARD,CBEC_ALL,DOWGEN_PUN1,05/01/2026,05/31/2026,PeakWE,No,1.3,-0.763794
215644758,,XTENS,OPT,BUY,PREAWARD,NUE_NUECESG9,NUE_NUECESG8,05/01/2026,05/31/2026,Off-peak,No,0.1,0.000000
215722684,,XINTER,OPT,BUY,PREAWARD,AMO_AMOCO_G2,AMOCO_PUN1,05/01/2026,05/31/2026,PeakWD,No,1,0.000000
215815474,,XMAIA,OPT,BUY,PREAWARD,FIVEWSLR_ALL,EBELLS_UNIT1,05/01/2026,05/31/2026,Off-peak,No,3,0.138821
215743486,,XHARTR,OPT,BUY,PREAWARD,MIAM1_G1_G2,SPLAIN2_RN,05/01/2026,05/31/2026,Off-peak,No,0.1,0.089635
215823150,,XATVUM,OBL,BUY,PREAWARD,ATK_ATKINSG7,STRATEGC_RN,05/01/2026,05/31/2026,Off-peak,No,0.2,-1.169248
215645174,,XTENS,OPT,BUY,PREAWARD,LOS_LOSTPST1,BASTEN_CCU,05/01/2026,05/31/2026,PeakWD,No,2,1.152006
215635751,,XBPEC,OBL,BUY,PREAWARD,DDPEC_GT1,SAN_SANMIGG1,05/01/2026,05/31/2026,Off-peak,No,1.3,-0.284688
215769578,,XHERM2,OPT,BUY,PREAWARD,ROW_ALL,WAP_WAP_G8,05/01/2026,05/31/2026,Off-peak,No,25,0.028352
215828977,,XSTROM,OPT,BUY,PREAWARD,SCSES_UNIT2,NACPW_UNIT1,05/01/2026,05/31/2026,PeakWE,No,5,0.060589
215873920,,XHYDRA,OBL,BUY,PREAWARD,HB_WEST,HB_NORTH,05/01/2026,05/31/2026,Off-peak,No,0.2,-0.280000
215808247,,XTEFL1,OBL,BUY,PREAWARD,BASTEN_CCU,LOS_LOSTPGT1,05/01/2026,05/31/2026,PeakWD,No,0.1,-0.936622
215702415,,XBIOUR,OPT,BUY,PREAWARD,LON_RN1,TC_PUN2,05/01/2026,05/31/2026,Off-peak,No,4.6,0.224752
215755659,,XSNDA2,OPT,BUY,PREAWARD,WILDWIND_ALL,LPCCS_CT11,05/01/2026,05/31/2026,Off-peak,No,2,0.981666
215765905,,XLANP2,OPT,BUY,PREAWARD,BYNM_SLR_RN,GRAN_SLR_RN,05/01/2026,05/31/2026,PeakWE,No,0.1,8.456331
215870167,,XNN8L2,OBL,BUY,PREAWARD,HB_BUSAVG,STRATEGC_RN,05/01/2026,05/31/2026,PeakWE,No,1.4,-0.720423
215875141,,XGUNVO,OPT,BUY,PREAWARD,HB_NORTH,MCSES_UNIT7,05/01/2026,05/31/2026,PeakWD,No,4.5,1.635446
215706763,,XBARTO,OBL,BUY,PREAWARD,BRA_AVR1_CT2,LEONLCPCT1_2,05/01/2026,05/31/2026,PeakWD,No,9.5,0.000400
215786186,,XBEARL,OPT,BUY,PREAWARD,PORTSL_UNIT1,LZ_RAYBN,05/01/2026,05/31/2026,Off-peak,No,1.4,3.221538
215805555,,XCDAFP,OPT,BUY,PREAWARD,DSWL_BES1,FILESSLR_PV1,05/01/2026,05/31/2026,PeakWD,No,15,0.190000
215685980,,XMETT2,OBL,BUY,PREAWARD,JAY_RN_1,WAP_WAP_G6,05/01/2026,05/31/2026,PeakWD,No,2,2.847148
215677142,,XEDIS2,OBL,BUY,PREAWARD,ANSON1_ALL,LPCCS_CT12,05/01/2026,05/31/2026,PeakWD,No,1,3.807300
215775644,,XMOUNT,OPT,BUY,PREAWARD,HI_LONE_ALL,BOOTLEG_UN1,05/01/2026,05/31/2026,Off-peak,No,1.5,4.544691
215641708,,XENDUR,OBL,BUY,PREAWARD,LAUR_BESS_RN,RN_SR_WIND1,05/01/2026,05/31/2026,PeakWD,No,3.5,0.127769
215694388,,XECNRQ,OPT,BUY,PREAWARD,PRO_RN,TC_GTG2_RN,05/01/2026,05/31/2026,Off-peak,No,5,0.047827
215645409,,XTENS,OPT,BUY,PREAWARD,DOWGEN_PUN1,HOL_ALL,05/01/2026,05/31/2026,PeakWD,No,6,0.613025
215647391,,XTXAPI,OPT,BUY,PREAWARD,CALHOUN_ALL,DUP_PUN4,05/01/2026,05/31/2026,PeakWE,No,0.8,0.569678
215784081,,XTEFLP,OPT,BUY,PREAWARD,WZRD_ESS_RN,HDNLAKES_RN,05/01/2026,05/31/2026,PeakWE,No,19.2,0.284380
215742286,,XHARTR,OPT,BUY,PREAWARD,HAYSEN1_2,GUADG_CCU1,05/01/2026,05/31/2026,PeakWD,No,0.8,0.655753
215778170,,XDCND2,OBL,BUY,PREAWARD,COL_COLETOG1,CCEC_GT1,05/01/2026,05/31/2026,Off-peak,No,12.4,-0.873638
215624544,,XMERRL,OPT,BUY,PREAWARD,RADN_SLR_ALL,HB_NORTH,05/01/2026,05/31/2026,PeakWD,No,2,6.375580
215899533,,XCLOPM,OBL,BUY,PREAWARD,LGD_LANGFORD,HB_WEST,05/01/2026,05/31/2026,Off-peak,No,17.7,-0.987805
215780010,,XDYST2,OPT,BUY,PREAWARD,DIVR_SLR_RN,MDWPK_RN,05/01/2026,05/31/2026,PeakWD,No,5,1.846286
215713861,,XCC8C1,OPT,BUY,PREAWARD,ABINDUST_RN,SWTWN4_WND45,05/01/2026,05/31/2026,Off-peak,No,0.6,0.795008
215774454,,XCASTP,OPT,BUY,PREAWARD,IMP_RN1,STEA_STEAM_1,05/01/2026,05/31/2026,Off-peak,No,6,0.550378
215832064,,XSTROM,OPT,BUY,PREAWARD,BUFF_GAP_ALL,HHOLLW3_WND1,05/01/2026,05/31/2026,PeakWD,No,5,0.087378
215673411,,XMEA2,OBL,BUY,PREAWARD,PENA_ALL,SHAFFER_ALL,05/01/2026,05/31/2026,Off-peak,No,2,3.743418
215741799,,XHARTR,OPT,BUY,PREAWARD,AJAXWIND_RN,WFCOGEN_13,05/01/2026,05/31/2026,PeakWE,No,0.1,0.734004
215689719,,XSARA3,OPT,BUY,PREAWARD,LZ_RAYBN,PANDA_S_ST1,05/01/2026,05/31/2026,Off-peak,No,4.6,0.131409
215785281,,XTEFLP,OPT,BUY,PREAWARD,HKSN_SLR_ALL,HB_NORTH,05/01/2026,05/31/2026,PeakWE,No,16.6,3.235060
215648007,,XHWE,OBL,BUY,PREAWARD,MIRASOLE_GEN,HB_SOUTH,05/01/2026,05/31/2026,PeakWD,No,2,11.801417
215824133,,XATVUM,OPT,BUY,PREAWARD,SAN_SANMIGG1,LMAJADAS_ALL,05/01/2026,05/31/2026,PeakWD,No,0.2,2.381397
215642051,,XLUMN,OBL,BUY,PREAWARD,COL_COLETOG1,HB_SOUTH,05/01/2026,05/31/2026,PeakWD,No,9,5.087098
215813532,,XMAIA,OPT,BUY,PREAWARD,WHMESA_U1,SHAMROCK_RN,05/01/2026,05/31/2026,PeakWD,No,5,0.072891
215890079,,XKNOA,OBL,BUY,PREAWARD,BAC_RN_ALL,MAND_SLR_RN,05/01/2026,05/31/2026,Off-peak,No,1,0.257549
215645134,,XTENS,OPT,BUY,PREAWARD,CALHOUN_ALL,NCARBID_PUN1,05/01/2026,05/31/2026,PeakWD,No,2,3.900699
215819318,,XATVUM,OBL,BUY,PREAWARD,ENDPARK_ESS1,WHCCS2_4,05/01/2026,05/31/2026,PeakWD,No,2.1,5.606261
215689613,,XSARA3,OPT,BUY,PREAWARD,DDPEC_GT1,MIRAGE_G1,05/01/2026,05/31/2026,PeakWE,No,4.6,0.670438
215637289,,XBPEC,OBL,BUY,PREAWARD,INKS_INKS_G1,SLCN_ESS_ALL,05/01/2026,05/31/2026,PeakWD,No,0.6,-0.126787
215670801,,XSWPWR,OPT,BUY,PREAWARD,SC2SES_UNIT1,KELAMSL_U1,05/01/2026,05/31/2026,PeakWD,No,1.4,2.010000
215633786,,XNRGLD,OBL,BUY,PREAWARD,HB_SOUTH,LZ_SOUTH,05/01/2026,05/31/2026,PeakWD,No,193,0.416087
215787093,,XPERAS,OBL,BUY,PREAWARD,TGCCS_ALL,MLSES_UNIT3,05/01/2026,05/31/2026,Off-peak,No,2.9,-1.865148
215756359,,XSNDA2,OPT,BUY,PREAWARD,TGCCS_ALL,KELAMSL_U1,05/01/2026,05/31/2026,PeakWE,No,1,1.849530
215889203,,XKNOA,OBL,BUY,PREAWARD,JUNO_ALL,OLIN_OLING_1,05/01/2026,05/31/2026,PeakWE,No,1,2.169704
215766801,,XLANP2,OPT,BUY,PREAWARD,STP_STP_G1,HB_WEST,05/01/2026,05/31/2026,PeakWE,No,0.2,5.429982
215839639,,XSTRO1,OBL,BUY,PREAWARD,THW_2_CCU,SCLP_SCLPC_4,05/01/2026,05/31/2026,Off-peak,No,0.2,0.139282
215637430,,XBPEC,OBL,BUY,PREAWARD,LAPETUS_U1,FWLR_SLR_1,05/01/2026,05/31/2026,PeakWE,No,0.1,0.383378
215837476,,XTHORD,OBL,BUY,PREAWARD,TXCTY_CTA,VLSES_UNIT3,05/01/2026,05/31/2026,Off-peak,No,0.2,-1.803173
215876426,,XK2SO,OBL,BUY,PREAWARD,DILEOS_UNIT1,BOSQ_BSQS_34,05/01/2026,05/31/2026,PeakWD,No,0.1,-1.682783
215821175,,XATVUM,OPT,BUY,PREAWARD,JCKCNTY2_CT3,FRNYPP_1_CCU,05/01/2026,05/31/2026,PeakWD,No,0.5,2.274352
215890286,,XKNOA,OBL,BUY,PREAWARD,CAPRIDG4_CR4,NACPW_UNIT1,05/01/2026,05/31/2026,PeakWD,No,1,3.388733
215738846,,XNEWM3,OBL,BUY,PREAWARD,HB_SOUTH,HB_NORTH,05/01/2026,05/31/2026,PeakWD,No,25,-2.262731
215773533,,XHEBER,OBL,BUY,PREAWARD,WH_WIND_ALL,GUNMTN_NODE,05/01/2026,05/31/2026,PeakWE,No,2.6,2.664544
215705788,,XBARTO,OBL,BUY,PREAWARD,RIGGIN_UNIT1,WOODWRD1_RN,05/01/2026,05/31/2026,Off-peak,No,12.5,0.277628
215834997,,XSTROM,OPT,BUY,PREAWARD,WLTC_ESR_RN,CARN_ESS_RN,05/01/2026,05/31/2026,PeakWD,No,7,0.218217
215856979,,XNN8LL,OBL,BUY,PREAWARD,SHEEPCRK_1,WHCCS2_5_6,05/01/2026,05/31/2026,PeakWD,No,0.6,4.181217
215742259,,XHARTR,OPT,BUY,PREAWARD,GUNMTN_NODE,LAMESASLR_G,05/01/2026,05/31/2026,PeakWD,No,0.1,0.800000
215857128,,XNN8LL,OBL,BUY,PREAWARD,TRINITY_ALL,JCKCNTY2_ST2,05/01/2026,05/31/2026,Off-peak,No,2.4,1.755490
215773339,,XHEBER,OBL,BUY,PREAWARD,FLCNS_UNIT1,EUNICE_ALL,05/01/2026,05/31/2026,PeakWE,No,6.7,1.372969
215762817,,XLANP2,OPT,BUY,PREAWARD,BYNM_SLR_RN,GRAN_SLR_RN,05/01/2026,05/31/2026,PeakWD,No,0.1,10.909260
215757097,,XSARAC,OPT,BUY,PREAWARD,OECCS_2,QUEEN_BA_RN,05/01/2026,05/31/2026,Off-peak,No,2.4,0.410706
