CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH
210594575,,XVITR1,OBL,BUY,PREAWARD,BRHEIGHT_RN,EVLN_ESS_RN,02/01/2026,02/28/2026,Off-peak,No,6.2,0.000000
210557223,,XATVU1,OPT,BUY,PREAWARD,AEEC,PALE_ESS_EN,02/01/2026,02/28/2026,PeakWD,No,25,0.000000
210632404,,XCDAF1,OPT,BUY,PREAWARD,MONT_WND_RN,NOVA2S_UNIT1,02/01/2026,02/28/2026,Off-peak,No,10,0.746773
210640212,,XK2SO1,OPT,BUY,PREAWARD,SC2SES_UNIT1,VISION_RN,02/01/2026,02/28/2026,PeakWE,No,0.1,0.209317
210322226,,XMEA,OPT,BUY,PREAWARD,RELOJ_ALL,BORDAS_345,02/01/2026,02/28/2026,PeakWD,No,56.2,0.100000
210363574,,XEDIS1,OPT,BUY,PREAWARD,NOBLESLR_ALL,JCKCNTY2_ST2,02/01/2026,02/28/2026,PeakWD,No,2.4,1.389719
210379695,,XMAGE,OBL,BUY,PREAWARD,LBRA_BES1,CALAVER_JKS2,02/01/2026,02/28/2026,PeakWD,No,1.1,2.364580
210365171,,XEDIS2,OBL,BUY,PREAWARD,GRSES_UNIT1,VLSES_UNIT3,02/01/2026,02/28/2026,Off-peak,No,1.2,3.639155
210294100,,XLUREP,OPT,BUY,PREAWARD,TRBT_SLR_RN,KINGE_ALL,02/01/2026,02/28/2026,PeakWE,No,0.3,1.657863
210387123,,XBIOUR,OPT,BUY,PREAWARD,KINGE_ALL,CASL_GAP_UN1,02/01/2026,02/28/2026,PeakWE,No,6,0.257814
210533694,,XVIEWE,OPT,BUY,PREAWARD,HB_HOUSTON,THW_THWGT5X,02/01/2026,02/28/2026,Off-peak,No,2,0.360842
210414347,,XCC8C1,OPT,BUY,PREAWARD,SWEC_G1,MCDLD_FCSBW1,02/01/2026,02/28/2026,Off-peak,No,2,1.170000
