CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH
217830103,,XDCND2,OBL,BUY,PREAWARD,TOYAH_RN,TAYGETE_ALL,06/01/2026,06/30/2026,PeakWD,No,4.6,-0.185711
217884890,,XMAIA1,OPT,BUY,PREAWARD,SHEEPCRK_1,ANCHOR_ALL,06/01/2026,06/30/2026,PeakWE,No,10,0.050000
217897805,,XSTRO1,OBL,BUY,PREAWARD,HB_SOUTH,PTLBES_BESS1,06/01/2026,06/30/2026,PeakWE,No,1.9,0.537274
217876437,,XATVUM,OPT,BUY,PREAWARD,YNG_WND_ALL,MDWPK_RN,06/01/2026,06/30/2026,Off-peak,No,1.2,2.000441
217864518,,XTEFL1,OBL,BUY,PREAWARD,EL_RAYO_ALL,MIRASOLE_GEN,06/01/2026,06/30/2026,PeakWE,No,0.1,-1.751239
217776456,,XINTER,OBL,BUY,PREAWARD,TGCCS_ALL,LFSTH_RN,06/01/2026,06/30/2026,PeakWD,No,0.2,0.228640
217761939,,XBIOUR,OBL,BUY,PREAWARD,BRA_AVR_CST1,CALAVER_JKS2,06/01/2026,06/30/2026,PeakWE,No,3.7,0.318943
217944811,,XKNOA,OBL,BUY,PREAWARD,IND_INADALE1,DC2SES_ALL,06/01/2026,06/30/2026,Off-peak,No,1,2.718330
217709989,,XNEXTL,OBL,BUY,PREAWARD,PANDA_T2_CT1,HLSES_UNIT4,06/01/2026,06/30/2026,PeakWD,No,0.1,-0.477160
217761651,,XBIOUR,OBL,BUY,PREAWARD,WAP_WAP_G7,BRHEIGHT_RN,06/01/2026,06/30/2026,Off-peak,No,3.7,0.139529
217737703,,XEDIS1,OBL,BUY,PREAWARD,WNDTS2_UNIT1,OLNEYTN_RN,06/01/2026,06/30/2026,Off-peak,No,1.2,1.380000
217692389,,XBPEC,OBL,BUY,PREAWARD,LZ_AEN,LOS_LOSTPGT1,06/01/2026,06/30/2026,Off-peak,No,5.5,-0.107458
217699681,,XTENS,OPT,BUY,PREAWARD,MAVCRK_W_ALL,LONEWOLF_ALL,06/01/2026,06/30/2026,PeakWD,No,1.1,3.030000
217683602,,XCPSE,OPT,BUY,PREAWARD,BRA_AVR_CST1,HB_SOUTH,06/01/2026,06/30/2026,Off-peak,No,50.8,0.439803
217786093,,XWOLFP,OPT,BUY,PREAWARD,AZURE_RN,GRIF_TRL_RN,06/01/2026,06/30/2026,Off-peak,No,72.5,0.080345
217796660,,XHARTR,OPT,BUY,PREAWARD,TAV_RN,BRP_BRAZ_RN,06/01/2026,06/30/2026,Off-peak,No,0.1,0.070456
217781819,,XALTUS,OPT,BUY,PREAWARD,JUNCTION_RN,JUNORTH_RN,06/01/2026,06/30/2026,Off-peak,No,5,0.060000
217808173,,XHART1,OPT,BUY,PREAWARD,WIPOPA_1_2,FPPYD_FPP_G1,06/01/2026,06/30/2026,Off-peak,No,0.1,0.073646
217829584,,XDCND2,OBL,BUY,PREAWARD,GRANDVW1_A_B,HRNT_SLR_RN,06/01/2026,06/30/2026,Off-peak,No,13.3,-0.272086
217865565,,XTEFL1,OBL,BUY,PREAWARD,TORR_ALL,CEDROHI_CHW1,06/01/2026,06/30/2026,Off-peak,No,0.1,-1.602006
217750549,,XGOLD,OBL,BUY,PREAWARD,AEEC,LZ_WEST,06/01/2026,06/30/2026,Off-peak,No,19,14.560749
217790674,,XHARTR,OPT,BUY,PREAWARD,BUCKTHRN_RN,MNWL_BESS_RN,06/01/2026,06/30/2026,PeakWD,No,0.1,1.097176
217806924,,XSARAC,OPT,BUY,PREAWARD,NWF_NWF1,RN_ECEC_HOLT,06/01/2026,06/30/2026,Off-peak,No,7,0.329990
217866163,,XVIEWE,OPT,BUY,PREAWARD,TKWSW_CHAMP,LONEWOLF_ALL,06/01/2026,06/30/2026,PeakWE,No,6,2.834438
217833018,,XTEFLP,OPT,BUY,PREAWARD,HRZN_SLR_UN1,PEARSA_1_24,06/01/2026,06/30/2026,PeakWE,No,21.2,0.230000
217690667,,XBPEC,OBL,BUY,PREAWARD,ELECTRAW_1_2,BCATWD_WD_1,06/01/2026,06/30/2026,PeakWD,No,0.9,-0.468647
217829652,,XDCND2,OBL,BUY,PREAWARD,SPLAIN1_RN,PALE_ESS_EN,06/01/2026,06/30/2026,Off-peak,No,10.4,-0.981483
217739480,,XEDIS1,OPT,BUY,PREAWARD,SPNC_SPNCE_5,PANDA_S_ST1,06/01/2026,06/30/2026,PeakWD,No,1.2,2.890056
217945024,,XKNOA,OBL,BUY,PREAWARD,PANDA_T1_CT2,MRKM_SLR_RN,06/01/2026,06/30/2026,PeakWD,No,1,-0.452054
