CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH
214327884,,XTHORD,OBL,BUY,PREAWARD,WIR_WIRTZ_G1,BUFF_GAP_ALL,04/01/2026,04/30/2026,PeakWD,No,0.1,-7.709435
214358597,,XK2SO,OPT,BUY,PREAWARD,BVE_UNIT1,TV_RN,04/01/2026,04/30/2026,PeakWE,No,0.1,4.106927
214312255,,XATVU1,OBL,BUY,PREAWARD,HB_SOUTH,MDANP_CT3_4,04/01/2026,04/30/2026,PeakWD,No,2.1,-1.734041
214173878,,XBARTO,OBL,BUY,PREAWARD,MYRY_BES2_RN,LV5_UNIT1,04/01/2026,04/30/2026,PeakWD,No,2.5,1.560000
214177406,,XSEMGP,OPT,BUY,PREAWARD,HHOLLW4_WND1,BUFF_GAP_ALL,04/01/2026,04/30/2026,PeakWE,No,1,0.060000
214204280,,XALTUS,OPT,BUY,PREAWARD,RN_SR_WIND1,SIL_SILAS_10,04/01/2026,04/30/2026,PeakWD,No,1,6.109684
214325543,,XMFTPO,OPT,BUY,PREAWARD,RELOJ_ALL,BORDAS_345,04/01/2026,04/30/2026,Off-peak,No,3.4,0.020000
214203822,,XALTUS,OPT,BUY,PREAWARD,DERMOTT_ALL,SWT_BESS_RN,04/01/2026,04/30/2026,PeakWD,No,0.5,7.397669
214352367,,XHYDRA,OPT,BUY,PREAWARD,MERCURY_ALL,CMPD_SLR_RN,04/01/2026,04/30/2026,Off-peak,No,0.1,0.460816
214106544,,XBPEC,OBL,BUY,PREAWARD,MIL_MILG1_2,SCES_UNIT1,04/01/2026,04/30/2026,PeakWE,No,0.4,0.170026
214352274,,XHYDRA,OPT,BUY,PREAWARD,EL_RAYO_ALL,MIRASOLE_GEN,04/01/2026,04/30/2026,Off-peak,No,0.1,1.026712
214160547,,XMAGE,OBL,BUY,PREAWARD,FPPYD_FPP_G1,WIPOPA_1_2,04/01/2026,04/30/2026,PeakWD,No,5,0.267710
214370384,,XKNOA,OBL,BUY,PREAWARD,PHOENIX_RN,FRMRSVLW_RN,04/01/2026,04/30/2026,PeakWE,No,1.1,0.352634
214267682,,XTEFLP,OPT,BUY,PREAWARD,WZRD_ESS_RN,BRP_DIKN_RN,04/01/2026,04/30/2026,Off-peak,No,14,0.014792
