CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH
212554312,,XLANP2,OPT,BUY,PREAWARD,WCPP_CT1,HB_NORTH,03/01/2026,03/31/2026,Off-peak,No,1,2.930643
212558042,,XLANP2,OPT,BUY,PREAWARD,CBY4_ALL,CBY_CBY_G2,03/01/2026,03/31/2026,PeakWD,No,1,0.290000
212643743,,XATVU2,OBL,BUY,PREAWARD,7RNCHSLR_ALL,HAYSEN3_4,03/01/2026,03/31/2026,PeakWD,No,0.5,0.494989
212414418,,XTENS3,OPT,BUY,PREAWARD,MARBFA,BUCHAN_ALL,03/01/2026,03/31/2026,PeakWD,No,22.7,0.474167
212560466,,XLANP2,OPT,BUY,PREAWARD,SHAFFER_ALL,B_DAVIS_3,03/01/2026,03/31/2026,PeakWE,No,0.2,1.543341
212385209,,XBPEC,OBL,BUY,PREAWARD,HB_PAN,ANSON1_ALL,03/01/2026,03/31/2026,Off-peak,No,0.2,4.871152
212702687,,XVITR1,OBL,BUY,PREAWARD,GZ_RN,RN_BY_ESR1,03/01/2026,03/31/2026,PeakWD,No,0.1,-0.228462
212738266,,XBCLIP,OBL,BUY,PREAWARD,REDBARN_RN,ARAGORN_RN,03/01/2026,03/31/2026,PeakWD,No,1.5,0.075870
212529261,,XHARTR,OPT,BUY,PREAWARD,BCH_RN,DOWGEN_PUN1,03/01/2026,03/31/2026,PeakWD,No,0.3,0.211057
212450993,,XMETT2,OBL,BUY,PREAWARD,AURO_SLR_RN,BLUEJAY_RN,03/01/2026,03/31/2026,PeakWE,No,1.5,0.380823
212386388,,XBPEC,OBL,BUY,PREAWARD,PHILLWND_ALL,LILY_RN,03/01/2026,03/31/2026,PeakWE,No,0.2,3.540418
212620201,,XATVUM,OBL,BUY,PREAWARD,REDFISH_ALL,BAFFIN_ALL,03/01/2026,03/31/2026,Off-peak,No,0.1,0.172466
212722991,,XNN8LL,OBL,BUY,PREAWARD,VERTIGO_UN1,AZURE_RN,03/01/2026,03/31/2026,PeakWD,No,2.6,-0.794663
212552698,,XHART1,OPT,BUY,PREAWARD,WIPOPA_1_2,GID_GIDEONG2,03/01/2026,03/31/2026,Off-peak,No,0.1,1.838159
212534885,,XHARTR,OPT,BUY,PREAWARD,WIPOPA_1_2,FPPYD_FPP_G3,03/01/2026,03/31/2026,PeakWE,No,0.2,0.455382
212736075,,XHYDRA,OPT,BUY,PREAWARD,QUEEN_SL_RN,OECCS_1,03/01/2026,03/31/2026,PeakWD,No,0.3,0.825630
212720384,,XBRAV2,OPT,BUY,PREAWARD,MCLNSLR_RN,BRP_PBL1_RN,03/01/2026,03/31/2026,Off-peak,No,14.2,11.599899
212453459,,XTXAP3,OPT,BUY,PREAWARD,OGSES_2,TDWLPR_1_RN,03/01/2026,03/31/2026,PeakWD,No,352.9,0.160000
212755508,,XKNOA,OBL,BUY,PREAWARD,HDNLAKES_RN,BVE_UNIT2,03/01/2026,03/31/2026,PeakWD,No,0.9,-3.177922
212521097,,XENELT,OBL,BUY,PREAWARD,RBN_BESS1,LZ_HOUSTON,03/01/2026,03/31/2026,Off-peak,No,1.5,0.054293
212374562,,XEDISO,OPT,BUY,PREAWARD,FERGCC_ST1_5,WIR_WIRTZ_G1,03/01/2026,03/31/2026,Off-peak,No,7.2,0.455482
212547092,,XSNDA2,OPT,BUY,PREAWARD,NOBLESLR_ALL,CHISMGRD_RN,03/01/2026,03/31/2026,PeakWE,No,1,1.101176
212381960,,XLUTRD,OPT,BUY,PREAWARD,RAMBLER_UNIT,APPALOSA_ALL,03/01/2026,03/31/2026,Off-peak,No,0.1,43.493530
212567466,,XHEBER,OBL,BUY,PREAWARD,TGW_T1_T2,SPARTA_ALL,03/01/2026,03/31/2026,Off-peak,No,10,4.346690
212544172,,XCASS2,OPT,BUY,PREAWARD,ELB_ELBCREEK,OWF_OWF,03/01/2026,03/31/2026,PeakWE,No,2,5.648736
212385037,,XBPEC,OBL,BUY,PREAWARD,PAVLOV_BT_RN,GIGA_ESS_RN,03/01/2026,03/31/2026,Off-peak,No,0.4,0.714143
212755945,,XKNOA,OBL,BUY,PREAWARD,BRAUNIG_VHB2,CALAVER_JTD2,03/01/2026,03/31/2026,PeakWD,No,0.9,0.001782
212532721,,XHARTR,OPT,BUY,PREAWARD,MWEC_G1,RDCAN_RDCNY1,03/01/2026,03/31/2026,Off-peak,No,0.1,1.116634
212546709,,XSNDA2,OPT,BUY,PREAWARD,RSK_RN,OWF_OWF,03/01/2026,03/31/2026,PeakWE,No,0.5,4.439346
212732039,,XNN8L1,OPT,BUY,PREAWARD,JUNORTH_RN,JUNCTION_RN,03/01/2026,03/31/2026,PeakWE,No,0.5,0.250000
212506746,,XALTUS,OPT,BUY,PREAWARD,CALLAHA_WND1,ABINDUST_RN,03/01/2026,03/31/2026,Off-peak,No,4,2.631747
212432409,,XMEA1,OBL,BUY,PREAWARD,HB_NORTH,LZ_NORTH,03/01/2026,03/31/2026,Off-peak,No,50,-0.002862
212545718,,XTTPAC,OBL,BUY,PREAWARD,LZ_SOUTH,WIPOPA_1_2,03/01/2026,03/31/2026,Off-peak,No,0.5,0.697607
212578039,,XTEFLP,OPT,BUY,PREAWARD,L_FRE_ESR_RN,RN_SR_WIND1,03/01/2026,03/31/2026,PeakWE,No,6.9,0.090000
212567390,,XHEBER,OBL,BUY,PREAWARD,RAT_RN_1,RANCHERO_ALL,03/01/2026,03/31/2026,Off-peak,No,12,0.055332
212721820,,XNN8LL,OBL,BUY,PREAWARD,BLUEJAY_RN,PAR_RN,03/01/2026,03/31/2026,Off-peak,No,5,-0.334429
212739354,,XGUNVO,OPT,BUY,PREAWARD,PB2SES_CT1,OBERON_U1,03/01/2026,03/31/2026,PeakWD,No,4,0.403586
212449613,,XMETT2,OBL,BUY,PREAWARD,FOXTROT_ALL,SAN_SANMIGG1,03/01/2026,03/31/2026,PeakWD,No,1.6,2.952875
212534074,,XHARTR,OPT,BUY,PREAWARD,SWTWN4_WND45,TKWSW_CHAMP,03/01/2026,03/31/2026,Off-peak,No,2.3,0.673951
212384889,,XBPEC,OBL,BUY,PREAWARD,FREC_1_CCU,KELAMSL_U1,03/01/2026,03/31/2026,Off-peak,No,0.2,0.625682
212533485,,XHARTR,OPT,BUY,PREAWARD,RIGGIN_UNIT1,REROCK_ALL,03/01/2026,03/31/2026,PeakWE,No,0.1,0.279275
212554332,,XLANP2,OPT,BUY,PREAWARD,WCPP_CT1,HB_NORTH,03/01/2026,03/31/2026,Off-peak,No,1,2.930643
212597167,,XSCEN1,OBL,BUY,PREAWARD,VORT_ALL_RN,AZURE_RN,03/01/2026,03/31/2026,PeakWD,No,2.8,-0.317316
212579850,,XPERAS,OBL,BUY,PREAWARD,KEO_KEO_SM1,RIGGIN_UNIT1,03/01/2026,03/31/2026,PeakWD,No,4.8,-0.746201
212740446,,XK2SO,OBL,BUY,PREAWARD,GUADG_CCU1,TIMPP_RN1,03/01/2026,03/31/2026,PeakWD,No,0.2,0.387810
212392298,,XGEXA,OBL,BUY,PREAWARD,HB_SOUTH,LZ_SOUTH,03/01/2026,03/31/2026,PeakWD,No,10.4,0.579547
212736509,,XHYDRA,OPT,BUY,PREAWARD,BUFF_GAP_ALL,HHOLLW3_WND1,03/01/2026,03/31/2026,Off-peak,No,0.8,0.200000
212559293,,XLANP2,OPT,BUY,PREAWARD,SUNVASLR_ALL,HB_NORTH,03/01/2026,03/31/2026,PeakWE,No,0.1,11.360681
