short_name,name,duns_number
XPHARE,PHARETRAM ENERGY SERVICES LTD (CRRAH),0799548455000
XPHILL,PHILLIPS 66 ENERGY TRADING LLC (CRRAH),1185833265000
XPNTFI,PNT FINANCIAL LLC (CRRAH),0390936655000
XPNTF1,PNT FINANCIAL LLC 1 (CRRAH),0390936655100
XPNTF2,PNT FINANCIAL LLC 2 (CRRAH),0390936655200
XPRECE,PRECEPT POWER LLC (CRRAH),0801790745000
XPREC1,PRECEPT POWER LLC 1 (CRRAH),0801790745100
XQDTT,QDT TRADING LLC (CRRAH),1177328695000
XQUATT,QUATTRO ENERGY LP (CRRAH),0806674375000
XQUAT1,QUATTRO ENERGY LP 1 (CRRAH),0806674375100
XQUAT2,QUATTRO ENERGY LP 2 (CRRAH),0806674375200
XRAIN,RAINBOW ENERGY MARKETING CORPORATION (CRRAH),8614986085000
XRBEC,RAYBURN COUNTRY ELECTRIC COOPERATIVE INC (CRRAH),6243686015000
XRBEC2,RAYBURN COUNTRY ELECTRIC COOPERATIVE INC 2 (CRRAH),6243686015100
XREPSO,REPSOL RENEWABLES DEVELOPMENT COMPANY LLC (CRRAH),0659460335000
XRESIS,RESISTANCE ENERGY FUND LP (CRRAH),1190249845000
XRESI1,RESISTANCE ENERGY FUND LP 1 (CRRAH),1190249845100
XFRONT,RETAIL ENERGY SOLUTIONS LLC (CRRAH),8094344215000
XREUEL,REUEL ENERGY LLC (CRRAH),0807209165000
XBIOU1,RIVERCREST POWER SOUTH 1 LLC (CRRAH),0799985325100
XBIOUR,RIVERCREST POWER SOUTH LLC (CRRAH),0799985325000
XECNRQ,RWE AMERICAS QSE LLC (CRRAH),8080878165000
XECNR1,RWE AMERICAS QSE LLC 1 (CRRAH),8080878165100
XECNR2,RWE AMERICAS QSE LLC 2 (CRRAH),8080878165200
XSAAIC,SAAICO ENERGY LLC (CRRAH),0798193885000
XSAHA,SAHALIE LLC (CRRAH),1188850795000
XSAHA1,SAHALIE LLC 1 (CRRAH),1188850795100
XSAHA2,SAHALIE LLC 2 (CRRAH),1188850795200
XSAMEN,SAMSON SOLAR ENERGY III LLC (CRRAH),1176660695000
XSAMSO,SAMSON SOLAR ENERGY LLC (CRRAH),1176660845000
XSNDAL,SANDALWOOD POWER LLC (CRRAH),0805491665000
XSNDA1,SANDALWOOD POWER LLC 1 (CRRAH),0805491665100
XSNDA2,SANDALWOOD POWER LLC 2 (CRRAH),0805491665200
XSARAW,SARACEN ENERGY WEST LP (CRRAH),8300183675000
XSARA2,SARACEN ENERGY WEST LP 2 (CRRAH),8300183675100
XSARA3,SARACEN ENERGY WEST LP 3 (CRRAH),8300183675200
XSARAC,SARACEN POWER LP (CRRAH),8296206785000
XSARA1,SARACEN POWER LP 1 (CRRAH),8296206785100
XSARP2,SARACEN POWER LP 2 (CRRAH),8296206785200
XSCENE,SC ENERGY PARTNERS LLC (CRRAH),0810774785000
XSCEN1,SC ENERGY PARTNERS LLC 1 (CRRAH),0810774785100
XSCEN2,SC ENERGY PARTNERS LLC 2 (CRRAH),0810774785200
XSECON,SECOND FOUNDATION US TRADING LLC (CRRAH),1188481975000
XSEMGP,SEMPRA GAS AND POWER MARKETING LLC (CRRAH),0802069045000
XSENAT,SENATE WIND LLC (CRRAH),8322475845000
XSESSW,SESCO SOUTHWEST TRADING LLC (CRRAH),9616099275000
XSESCA,SESCO SOUTHWEST TRADING LLC CAISO (CRRAH),9616099275100
XSESKP,SESCO SOUTHWEST TRADING LLC KP (CRRAH),9616099275200
XSHELL,SHELL ENERGY NORTH AMERICA (US) LP (CRRAH),9375172665000
XSHEL2,SHELL ENERGY NORTH AMERICA (US) LP 2 (CRRAH),9375172665200
XSHEL3,SHELL ENERGY NORTH AMERICA (US) LP 3 (CRRAH),9375172665300
XSIGAN,SIGMA ANALYTICS LLC (CRRAH),1194311215000
XSIGA1,SIGMA ANALYTICS LLC 1 (CRRAH),1194311215100
XSIGA2,SIGMA ANALYTICS LLC 2 (CRRAH),1194311215200
XSET,SMARTESTENERGY TEXAS LLC (CRRAH),1384293555000
XSOCIV,SOCIVOLTA INC (CRRAH),2033228965000
XSPWE,SOUTH PLAINS WIND ENERGY LLC (CRRAH),0795544885000
XSTEC,SOUTH TEXAS ELECTRIC COOPERATIVE INC (CRRAH),0038663325000
XSPENE,SP ENERGY TRADING LLC (CRRAH),1171715945000
XSPANS,SPANSHOAKSAILAB INC (CRRAH),0999861235000
XSPARK,SPARK ENERGY LLC (CRRAH),0375974375000
XSPOTL,SPOTLIGHT POWER LLC (CRRAH),1185310765000
XSTATK,STATKRAFT US LLC (CRRAH),0623978505000
XSTROM,STROM POWER LLC (CRRAH),0805374955000
XSTRO1,STROM POWER LLC 1 (CRRAH),0805374955100
XSTRO2,STROM POWER LLC 2 (CRRAH),0805374955200
XSWPWR,SW POWER TRADING LLC (CRRAH),9687451955000
XTARHA,TARHAWK ENERGY LP (CRRAH),1249207505000
XTARH1,TARHAWK ENERGY LP 1 (CRRAH),1249207505100
XTARH2,TARHAWK ENERGY LP 2 (CRRAH),1249207505200
XTCENE,TC ENERGY MARKETING INC (CRRAH),1176752715000
XTECEN,TEC ENERGY INC (CRRAH),2030184865000
XTENS,TENASKA POWER SERVICES CO (CRRAH),9630189815000
XTENS2,TENASKA POWER SERVICES CO 2 (CRRAH),9630189815100
XTENS3,TENASKA POWER SERVICES CO 3 (CRRAH),9630189815200
XTEXE2,TEXAS ELECTRIC MARKETING LLC (2) (CRRAH),0808537315100
XTEXE3,TEXAS ELECTRIC MARKETING LLC (3) (CRRAH),0808537315200
XTEXEL,TEXAS ELECTRIC MARKETING LLC (CRRAH),0808537315000
XTETP,TEXAS ENERGY TRANSFER POWER LLC (CRRAH),8310992675000
XTXRET,TEXAS RETAIL ENERGY LLC (CRRAH),1242384325000
XTEAIX,THE ENERGY AUTHORITY INC (CRRAH),0159548605000
XTHORD,THORDIN LLC (CRRAH),3059811845000
XTHUNH,THUNDERHEAD POWER LLC (CRRAH),1289549785000
XTIDEN,TIDAL ENERGY MARKETING (US) LLC (CRRAH),0396649535000
XTORCH,TORCH POWER LLC (CRRAH),1194311655000
XTORC1,TORCH POWER LLC 1 (CRRAH),1194311655100
XTORC2,TORCH POWER LLC 2 (CRRAH),1194311655200
XTOTLG,TOTALENERGIES GAS AND POWER NORTH AMERICA INC (CRRAH),6200599805000
XTRAFI,TRAFIGURA TRADING LLC (CRRAH),8277765225000
XTRAN3,TRANSALTA ENERGY MARKETING (US) INC 3 (CRRAH),0319045305000
XTEFLP,TRIOLITH ENERGY FUND LP (CRRAH),0798435005000
XTEFL1,TRIOLITH ENERGY FUND LP 1 (CRRAH),0798435005100
XTEFL2,TRIOLITH ENERGY FUND LP 2 (CRRAH),0798435005200
XTTPAC,TTPA LLC (CRRAH),0806917865100
XTXAPI,TX ACTIVE POWER INVESTMENTS LLLP (CRRAH),9647744055000
XTXAP2,TX ACTIVE POWER INVESTMENTS LLLP 2 (CRRAH),9647744055100
XTXAP3,TX ACTIVE POWER INVESTMENTS LLLP 3 (CRRAH),9647744055200
XUMEEN,UME ENERGY LLC (CRRAH),1176767585000
XUMEE1,UME ENERGY LLC 1 (CRRAH),1176767585100
XUMEE2,UME ENERGY LLC 2 (CRRAH),1176767585200
XUNCEN,UNCIA ENERGY LP (CRRAH),1448490635000
XUNCE2,UNCIA ENERGY LP 2 (CRRAH),1448490635100
XUNCE3,UNCIA ENERGY LP 3 (CRRAH),1448490635200
XUNCIA,UNCIA ENERGY LP SERIES E (CRRAH),0797546945000
XUNCI2,UNCIA ENERGY LP SERIES E 2 (CRRAH),0797546945100
XUNCI3,UNCIA ENERGY LP SERIES E 3 (CRRAH),0797546945200
XUNCIE,UNCIA ENERGY LP SERIES TX (CRRAH),1188976345000
XUNTX2,UNCIA ENERGY LP SERIES TX 2 (CRRAH),1188976345100
XUNTX3,UNCIA ENERGY LP SERIES TX 3 (CRRAH),1188976345200
XEONG,UNIPER GLOBAL COMMODITIES NORTH AMERICA LLC (CRRAH),0790933505000
XUSRM,US RESEARCH MANAGEMENT LLC (CRRAH),1194123745000
XUSRM1,US RESEARCH MANAGEMENT LLC 1 (CRRAH),1194123745100
XUSRM2,US RESEARCH MANAGEMENT LLC 2 (CRRAH),1194123745200
XVBEIN,VBE INVESTMENTS LLC (CRRAH),0807886655000
XVBEI1,VBE INVESTMENTS LLC 1 (CRRAH),0807886655100
XVEGA,VEGA POWER LLC (CRRAH),1188175985000
XVELEM,VELOCITY AMERICAN ENERGY MASTER I LP (CRRAH),8091180245000
XVELE2,VELOCITY AMERICAN ENERGY MASTER I LP 2 (CRRAH),8091180245100
XVELE3,VELOCITY AMERICAN ENERGY MASTER I LP 3 (CRRAH),8091180245200
XVERAN,VERANO ENERGY TRADING LP (CRRAH),0805420515000
XVERRE,VERRA ENERGY LP (CRRAH),1431901045000
XVIEWE,VIEW ENERGY LLC (CRRAH),1253474595000
XVIRIB,VIRIBUS FUND LP (CRRAH),1176918635000
XVIRI1,VIRIBUS FUND LP 1 (CRRAH),1176918635100
XVITOL,VITOL INC (CRRAH),7906200465000
XVITO2,VITOL INC 2 (CRRAH),7906200465200
XVITO1,VITOL INC I (CRRAH),7906200465100
XVITRE,VITR ENERGY LLC (CRRAH),1191188075000
XVITR1,VITR ENERGY LLC 1 (CRRAH),1191188075100
XVITR2,VITR ENERGY LLC 2 (CRRAH),1191188075200
XVOLED,VOLTA ENERGY DESIGNATED ACTIVITY COMPANY (CRRAH),9861538165000
XWEATH,WEATHERFORD MUNICIPAL UTILITY SYSTEM (CRRAH),0817196275000
XWOLFP,WOLFRAMIUM POWER LP (CRRAH),0805522515000
XWOLF1,WOLFRAMIUM POWER LP 1 (CRRAH),0805522515100
XWOLF2,WOLFRAMIUM POWER LP 2 (CRRAH),0805522515200
XXCOM,XCOM GENERATOR LABS LLC (CRRAH),1194116595000
XXCOM1,XCOM GENERATOR LABS LLC 1 (CRRAH),1194116595100
XXCOM2,XCOM GENERATOR LABS LLC 2 (CRRAH),1194116595200
XZGLTX,ZGLOBAL TX LLC (CRRAH),1194527055000
