short_name,name,duns_number
XCIRRO,CIRRO GROUP INC (CRRAH),0344414495000
XCITAE,CITADEL ENERGY MARKETING LLC (CRRAH),0796630875000
XCITAT,CITADEL TEXAS ENERGY LTD (CRRAH),1188689285000
XCITA1,CITADEL TEXAS ENERGY LTD 1 (CRRAH),1188689285100
XCITX2,CITADEL TEXAS ENERGY LTD 2 (CRRAH),1188689285200
XCITI,CITIGROUP ENERGY INC (CRRAH),1451846315000
XCITI2,CITIGROUP ENERGY INC 2 (CRRAH),1451846315100
XCITI3,CITIGROUP ENERGY INC 3 (CRRAH),1451846315200
XAEN,CITY OF AUSTIN DBA AUSTIN ENERGY (CRRAH),8008717665000
XBOERN,CITY OF BOERNE (CRRAH),0052470695000
XCOLGS,CITY OF COLLEGE STATION (CRRAH),0403303005000
XGAR,CITY OF GARLAND (CRRAH),6011012565000
XGAR1,CITY OF GARLAND 1 (CRRAH),6011012565100
XGTWN,CITY OF GEORGETOWN (CRRAH),0895923725000
XSEGIN,CITY OF SEGUIN (CRRAH),8485094025000
XALGON,CLEARLIGHT ENERGY SERVICES LLC (CRRAH),2039805655000
XCLOPM,CLEARWAY OPCO POWER MARKETING LLC (CRRAH),1194666495000
XEXELO,CONSTELLATION ENERGY GENERATION LLC (CRRAH),9604589585000
XEXEL1,CONSTELLATION ENERGY GENERATION LLC 1 (CRRAH),9604589585100
XEXEL2,CONSTELLATION ENERGY GENERATION LLC 2 (CRRAH),9604589585200
XCOOKE,COOKE COUNTY ELECTRIC COOPERATIVE ASSOCIATION INC (CRRAH),0089518085000
XCORS,CORSAIR LP (CRRAH),1171312655000
XCOR2,CORSAIR LP 2 (CRRAH),1171312655100
XCOR3,CORSAIR LP 3 (CRRAH),1171312655200
XCPSE,CPS ENERGY (CRRAH),0079360735000
XCPSE2,CPS ENERGY 2 (CRRAH),0079360735100
XCRIMS,CRIMSON ENERGY LLC (CRRAH),0801899045000
XCTV,CTV LLC (CRRAH),1448489575000
XCWPEI,CWP ENERGY INC (CRRAH),2035708905000
XCWPE1,CWP ENERGY INC 1 (CRRAH),2035708905100
XCWPE2,CWP ENERGY INC 2 (CRRAH),2035708905200
XDANSK,DANSKE COMMODITIES US LLC (CRRAH),1170410305000
XDANS1,DANSKE COMMODITIES US LLC 1 (CRRAH),1170410305100
XDANS2,DANSKE COMMODITIES US LLC 2 (CRRAH),1170410305200
XDARBY,DARBY ENERGY LLC (CRRAH),9697872955000
XDARB2,DARBY ENERGY LLC 2 (CRRAH),9697872955100
XDARB3,DARBY ENERGY LLC 3 (CRRAH),9697872955200
XDARE,DARE US LLC (CRRAH),1189691435000
XDCEND,DC ENERGY DAKOTA LLC (CRRAH),8308783075000
XDCEN1,DC ENERGY DAKOTA LLC 1 (CRRAH),8308783075100
XDCND2,DC ENERGY DAKOTA LLC 2 (CRRAH),8308783075200
XDCENG,DC ENERGY TEXAS LLC (CRRAH),8276737035000
XDCEN2,DC ENERGY TEXAS LLC 2 (CRRAH),8276737035100
XDCEN3,DC ENERGY TEXAS LLC 3 (CRRAH),8276737035200
XDCEC,DENTON COUNTY ELECTRIC COOP INC DBA COSERV ELECTRIC (CRRAH),0089479135000
XDME,DENTON MUNICIPAL ELECTRIC (CRRAH),0713801905000
XDME1,DENTON MUNICIPAL ELECTRIC 1 (CRRAH),0713801905100
XDUKER,DERIVA ENERGY SERVICES LLC (CRRAH),0786769745000
XDUKE1,DERIVA ENERGY SERVICES LLC 1 (CRRAH),0786769745100
XDUKE2,DERIVA ENERGY SERVICES LLC 2 (CRRAH),0786769745200
XDESLY,DESLYS LLC (CRRAH),1185956215000
XDESL1,DESLYS LLC 1 (CRRAH),1185956215100
XDESL2,DESLYS LLC 2 (CRRAH),1185956215200
XDIRE,DIRECT ENERGY LP (CRRAH),0397133545000
XDIRE1,DIRECT ENERGY LP 1 (CRRAH),0397133545100
